"","Name","Position","Number","Speech","Day","Time","Title","Link","X","Category","EndTime","X.1","X.2","Rep","Dem","SenateRep","HORRep","Unemployment","FedFunds","Number.1","ChangeVix","ChangeSP"
"23","Bernanke","Fed Chairman","23",0.15767,"X10.18.11","1:15","The Effects of the Great Recession on Central Bank Doctrine and Practice ","http://www.federalreserve.gov/newsevents/speech/bernanke20111018a.pdf","","","",NA,NA,0,0,0.47,0.556321839,8.8,0.07,"23",0.00291090288321997,0.00291090288321997
"24","FMOC","","24",0.06884,"X4.9.14","2:00","Minutes","http://www.federalreserve.gov/newsevents/press/monetary/20140409a.htm","","","",NA,NA,0,0,0.45,0.537931034,6.7,0.08,"24",0.00690026084384336,0.00690026084384336
"25","FMOC","","25",0.16987,"X3.19.14","9:00","Statement","http://www.federalreserve.gov/newsevents/press/monetary/20140319a.htm","","","",NA,NA,0,0,0.45,0.537931034,6.7,0.08,"25",0.0139860139860139,-0.00101474044007696
"26","FMOC","","26",0.100694,"X3.19.14","2:00","projection","http://www.federalreserve.gov/monetarypolicy/files/fomcprojtabl20140319.pdf","","","",NA,NA,0,0,0.45,0.537931034,6.7,0.08,"26",-0.00652432741231935,-0.00652432741231935
"27","FRB","","27",0.111413,"X2.25.14","2:00","Discount Rates","http://www.federalreserve.gov/newsevents/press/monetary/20140225a.htm","","","",NA,NA,0,0,0.45,0.537931034,6.7,0.07,"27",-0.00255157202785107,-0.00255157202785107
"28","FMOC","","28",0.177215,"X2.19.14","2:00","Minutes","http://www.federalreserve.gov/newsevents/press/monetary/20140129a.htm","","","",NA,NA,0,0,0.45,0.537931034,6.7,0.07,"28",-0.00573047208433687,-0.00573047208433687
"29","FRB","","29",0.1225,"X1.14.14","2:00","Discount Rates Minutes","http://www.federalreserve.gov/newsevents/press/monetary/20140114b.htm","","","",NA,NA,0,0,0.45,0.537931034,6.6,0.07,"29",0.00180871232757315,0.00180871232757315
"30","FMOC","","30",0.156626,"X12.18.13","9:00","statement","http://www.federalreserve.gov/newsevents/press/monetary/20131218a.htm","","","",NA,NA,0,0,0.45,0.537931034,6.7,0.09,"30",0.0594560404807084,-0.00797056332419048
"31","FMOC","","31",0.13301,"X10.30.13","10:00","Statement","http://www.federalreserve.gov/newsevents/press/monetary/20131030a.htm","","","",NA,NA,0,0,0.45,0.537931034,7.2,0.08,"31",-0.0313588850174216,-0.00272152722375943
"32","FMOC","","32",0.15432,"X9.18.13","11:00","statement","http://www.federalreserve.gov/newsevents/press/monetary/20130918a.htm","","","",NA,NA,0,0,0.45,0.537931034,7.2,0.08,"32",-0.0663928815879534,0.0137482080327137
"33","FMOC","","33",0.16923,"X7.31.13","12:00","statement","http://www.federalreserve.gov/newsevents/press/monetary/20130731a.htm","","","",NA,NA,0,0,0.45,0.537931034,7.3,0.09,"33",-0.00220780604453495,-0.00220780604453495
"34","FMOC","","34",0.147727,"X6.19.13","13:00","statement","http://www.federalreserve.gov/newsevents/press/monetary/20130619a.htm","","","",NA,NA,0,0,0.45,0.537931034,7.5,0.1,"34",-0.0125482683995805,-0.0125482683995805
"35","FMOC","","35",0.182539,"X5.1.13","14:00","statement","http://www.federalreserve.gov/newsevents/press/monetary/20130501a.htm","","","",NA,NA,0,0,0.45,0.537931034,7.5,0.14,"35",-0.00284146395247005,-0.00284146395247005
"36","FMOC","","36",0.161885,"X3.20.13","15:00","statement","http://www.federalreserve.gov/newsevents/press/monetary/20130320a.htm","","","",NA,NA,0,0,0.45,0.537931034,7.5,0.15,"36",0.000982545370477384,0.000982545370477384
"37","FMOC","","37",0.095238,"X1.20.13","16:00","statement","http://www.federalreserve.gov/newsevents/press/monetary/20130130a.htm","","","",NA,NA,0,0,0.45,0.537931034,7.9,0.14,"37",0.00340324388564018,0.00340324388564018
"38","Benanke","Fed Chairman","38",0.056818,"X2.26.13","10:00","monetary policy report","http://www.federalreserve.gov/newsevents/testimony/bernanke20130226a.pdf","","","",NA,NA,0,0,0.45,0.537931034,7.7,0.14,"38",-0.0577136514983351,0.00590892590650584
"39","Bernanke","Fed Chairman","39",0.081589,"X7.17.13","8:30","monetary policy report","http://www.federalreserve.gov/newsevents/testimony/bernanke20130717a.pdf","","","",NA,NA,0,0,0.45,0.537931034,7.3,0.09,"39",-0.0232886379675371,-0.001081421534549
